scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,0,9,45.0,6.5,399.0,active
baseline,0,1,9,45.0,11.5,98.0,active
baseline,0,2,9,45.0,9.5,99.0,active
baseline,0,3,9,45.0,10.5,598.0,active
baseline,0,4,9,45.0,11.0,0.5,active
baseline,0,5,9,45.0,12.5,99.5,active
baseline,0,6,9,45.0,9.5,796.0,active
baseline,0,7,9,45.0,11.5,598.5,active
baseline,0,8,9,45.0,9.0,195.5,active
baseline,0,9,9,45.0,4.5,398.5,active
baseline,0,10,9,45.0,12.0,197.5,active
baseline,0,11,9,45.0,12.5,696.5,active
baseline,0,12,9,45.0,5.5,399.0,active
baseline,0,13,9,45.0,12.0,100.0,active
baseline,0,14,9,45.0,9.0,402.0,active
baseline,0,15,9,45.0,11.0,97.0,active
baseline,0,16,9,45.0,11.0,604.0,active
baseline,0,17,9,45.0,12.0,99.0,active
baseline,0,18,9,45.0,10.0,197.5,active
baseline,0,19,9,45.0,11.0,699.0,active
baseline,0,20,9,45.0,11.5,397.5,active
baseline,0,21,9,45.0,12.5,199.0,active
baseline,0,22,9,45.0,12.0,0.0,active
baseline,0,23,9,45.0,12.0,798.5,active
baseline,0,24,9,45.0,11.5,504.0,active
baseline,0,25,9,45.0,13.5,797.0,active
baseline,0,26,9,45.0,10.5,96.5,active
baseline,0,27,9,45.0,11.5,98.5,active
baseline,0,28,9,45.0,12.5,597.5,active
baseline,0,29,9,45.0,9.5,196.0,active
baseline,0,0,10,50.0,7.0,398.5,active
baseline,0,1,10,50.0,12.0,98.0,active
baseline,0,2,10,50.0,9.0,98.5,active
baseline,0,3,10,50.0,11.0,598.0,active
baseline,0,4,10,50.0,11.5,0.0,active
baseline,0,5,10,50.0,13.0,99.5,active
baseline,0,6,10,50.0,9.5,795.5,active
baseline,0,7,10,50.0,11.5,598.0,active
baseline,0,8,10,50.0,9.0,195.0,active
baseline,0,9,10,50.0,4.5,398.0,active
baseline,0,10,10,50.0,12.5,197.0,active
baseline,0,11,10,50.0,13.0,697.0,active
